[2026-02-19 19:56:28] SERVER: avvio in corso
[2026-02-19 19:56:28] SERVER: in ascolto sulla porta 8080
[2026-02-19 19:56:28] SERVER: nuova partita pronta, in attesa di giocatori
[2026-02-19 19:57:33] [fauu@127.0.0.1] MOVE: nuova pos (9,35)
[2026-02-19 19:57:34] [fauu@127.0.0.1] MOVE: 'W' (pos: 9,35)
[2026-02-19 19:57:34] [fauu@127.0.0.1] MOVE: nuova pos (8,35)
[2026-02-19 19:57:39] [fauu@127.0.0.1] MOVE: 'W' (pos: 8,35)
[2026-02-19 19:57:39] [fauu@127.0.0.1] MOVE: nuova pos (7,35)
[2026-02-19 19:57:40] [fauu@127.0.0.1] MOVE: 'D' (pos: 7,35)
[2026-02-19 19:57:40] [fauu@127.0.0.1] MOVE: nuova pos (7,36)
[2026-02-19 19:57:40] [fauu@127.0.0.1] MOVE: 'D' (pos: 7,36)
[2026-02-19 19:57:40] [fauu@127.0.0.1] MOVE: nuova pos (7,37)
[2026-02-19 19:57:41] [fauu@127.0.0.1] MOVE: 'S' (pos: 7,37)
[2026-02-19 19:57:41] [fauu@127.0.0.1] MOVE: nuova pos (8,37)
[2026-02-19 19:57:41] [fauu@127.0.0.1] MOVE: 'S' (pos: 8,37)
[2026-02-19 19:57:41] [fauu@127.0.0.1] MOVE: nuova pos (9,37)
[2026-02-19 19:57:42] [fauu@127.0.0.1] MOVE: 'D' (pos: 9,37)
[2026-02-19 19:57:42] [fauu@127.0.0.1] MOVE: nuova pos (9,38)
[2026-02-19 19:57:42] [fauu@127.0.0.1] MOVE: 'D' (pos: 9,38)
[2026-02-19 19:57:42] [fauu@127.0.0.1] MOVE: nuova pos (9,39)
[2026-02-19 19:57:42] [fauu@127.0.0.1] MOVE: 'S' (pos: 9,39)
[2026-02-19 19:57:42] [fauu@127.0.0.1] MOVE: nuova pos (10,39)
[2026-02-19 19:57:43] [fauu@127.0.0.1] MOVE: 'W' (pos: 10,39)
[2026-02-19 19:57:43] [fauu@127.0.0.1] MOVE: nuova pos (9,39)
[2026-02-19 19:57:43] [fauu@127.0.0.1] MOVE: 'D' (pos: 9,39)
[2026-02-19 19:57:43] [fauu@127.0.0.1] MOVE: nuova pos (9,40)
[2026-02-19 19:57:43] [fauu@127.0.0.1] MOVE: 'D' (pos: 9,40)
[2026-02-19 19:57:43] [fauu@127.0.0.1] MOVE: nuova pos (9,41)
[2026-02-19 19:57:44] [fauu@127.0.0.1] MOVE: 'A' (pos: 9,41)
[2026-02-19 19:57:44] [fauu@127.0.0.1] MOVE: nuova pos (9,40)
[2026-02-19 19:57:45] [fauu@127.0.0.1] MOVE: 'A' (pos: 9,40)
[2026-02-19 19:57:45] [fauu@127.0.0.1] MOVE: nuova pos (9,39)
[2026-02-19 19:57:45] [fauu@127.0.0.1] MOVE: 'S' (pos: 9,39)
[2026-02-19 19:57:45] [fauu@127.0.0.1] MOVE: nuova pos (10,39)
[2026-02-19 19:57:45] [fauu@127.0.0.1] MOVE: 'S' (pos: 10,39)
[2026-02-19 19:57:45] [fauu@127.0.0.1] MOVE: nuova pos (11,39)
[2026-02-19 19:57:46] [fauu@127.0.0.1] MOVE: 'S' (pos: 11,39)
[2026-02-19 19:57:46] [fauu@127.0.0.1] MOVE: bloccato dal muro
[2026-02-19 19:57:46] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,39)
[2026-02-19 19:57:46] [fauu@127.0.0.1] MOVE: nuova pos (11,40)
[2026-02-19 19:57:46] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,40)
[2026-02-19 19:57:46] [fauu@127.0.0.1] ITEM: raccolto in (11,41), totale=1
